N				k				Ortalama Süre (saniye)
100				2				0.000083
100				2				0.000073
100				2				0.000069
100				2				0.000068
100				2				0.000069
100				2				0.000068
100				2				0.000067
100				2				0.000067
100				2				0.000068
100				2				0.000068
100				2				0.000070---Ortalama
100				3				0.000049
100				3				0.000047
100				3				0.000046
100				3				0.000045
100				3				0.000046
100				3				0.000045
100				3				0.000045
100				3				0.000046
100				3				0.000044
100				3				0.000045
100				3				0.000046---Ortalama
100				4				0.000051
100				4				0.000047
100				4				0.000106
100				4				0.000056
100				4				0.000053
100				4				0.000052
100				4				0.000050
100				4				0.000051
100				4				0.000052
100				4				0.000050
100				4				0.000057---Ortalama
100				5				0.000044
100				5				0.000041
100				5				0.000039
100				5				0.000038
100				5				0.000039
100				5				0.000037
100				5				0.000037
100				5				0.000037
100				5				0.000035
100				5				0.000035
100				5				0.000038---Ortalama
100				6				0.000056
100				6				0.000049
100				6				0.000048
100				6				0.000048
100				6				0.000047
100				6				0.000048
100				6				0.000048
100				6				0.000047
100				6				0.000046
100				6				0.000047
100				6				0.000048---Ortalama
100				7				0.000064
100				7				0.000063
100				7				0.000060
100				7				0.000059
100				7				0.000060
100				7				0.000060
100				7				0.000059
100				7				0.000060
100				7				0.000060
100				7				0.000059
100				7				0.000060---Ortalama
100				8				0.000061
100				8				0.000061
100				8				0.000058
100				8				0.000056
100				8				0.000058
100				8				0.000056
100				8				0.000057
100				8				0.000058
100				8				0.000056
100				8				0.000057
100				8				0.000058---Ortalama
100				9				0.000052
100				9				0.000051
100				9				0.000050
100				9				0.000049
100				9				0.000049
100				9				0.000048
100				9				0.000048
100				9				0.000049
100				9				0.000047
100				9				0.000047
100				9				0.000049---Ortalama
100				10				0.000042
100				10				0.000041
100				10				0.000038
100				10				0.000040
100				10				0.000039
100				10				0.000039
100				10				0.000039
100				10				0.000038
100				10				0.000040
100				10				0.000040
100				10				0.000040---Ortalama
1000				2				0.000801
1000				2				0.000782
1000				2				0.000779
1000				2				0.000781
1000				2				0.000782
1000				2				0.000689
1000				2				0.000654
1000				2				0.000641
1000				2				0.000640
1000				2				0.000637
1000				2				0.000719---Ortalama
1000				3				0.000501
1000				3				0.000486
1000				3				0.000489
1000				3				0.000485
1000				3				0.000485
1000				3				0.000427
1000				3				0.000414
1000				3				0.000413
1000				3				0.000413
1000				3				0.000411
1000				3				0.000452---Ortalama
1000				4				0.000310
1000				4				0.000294
1000				4				0.000296
1000				4				0.000293
1000				4				0.000294
1000				4				0.000293
1000				4				0.000294
1000				4				0.000293
1000				4				0.000294
1000				4				0.000293
1000				4				0.000295---Ortalama
1000				5				0.000396
1000				5				0.000379
1000				5				0.000382
1000				5				0.000377
1000				5				0.000376
1000				5				0.000374
1000				5				0.000352
1000				5				0.000323
1000				5				0.000323
1000				5				0.000340
1000				5				0.000362---Ortalama
1000				6				0.000284
1000				6				0.000255
1000				6				0.000251
1000				6				0.000255
1000				6				0.000250
1000				6				0.000253
1000				6				0.000251
1000				6				0.000250
1000				6				0.000249
1000				6				0.000249
1000				6				0.000255---Ortalama
1000				7				0.000335
1000				7				0.000317
1000				7				0.000316
1000				7				0.000315
1000				7				0.000314
1000				7				0.000314
1000				7				0.000313
1000				7				0.000312
1000				7				0.000313
1000				7				0.000315
1000				7				0.000316---Ortalama
1000				8				0.000425
1000				8				0.000396
1000				8				0.000367
1000				8				0.000366
1000				8				0.000364
1000				8				0.000363
1000				8				0.000371
1000				8				0.000366
1000				8				0.000362
1000				8				0.000361
1000				8				0.000374---Ortalama
1000				9				0.000339
1000				9				0.000325
1000				9				0.000329
1000				9				0.000326
1000				9				0.000318
1000				9				0.000322
1000				9				0.000319
1000				9				0.000322
1000				9				0.000320
1000				9				0.000318
1000				9				0.000324---Ortalama
1000				10				0.000267
1000				10				0.000257
1000				10				0.000253
1000				10				0.000246
1000				10				0.000244
1000				10				0.000229
1000				10				0.000228
1000				10				0.000227
1000				10				0.000227
1000				10				0.000254
1000				10				0.000243---Ortalama
10000				2				0.004708
10000				2				0.004205
10000				2				0.004061
10000				2				0.003958
10000				2				0.003816
10000				2				0.003738
10000				2				0.003610
10000				2				0.003538
10000				2				0.003501
10000				2				0.003375
10000				2				0.003851---Ortalama
10000				3				0.002634
10000				3				0.002524
10000				3				0.002523
10000				3				0.002522
10000				3				0.002475
10000				3				0.002537
10000				3				0.002416
10000				3				0.002397
10000				3				0.002399
10000				3				0.002437
10000				3				0.002486---Ortalama
10000				4				0.002117
10000				4				0.002108
10000				4				0.002114
10000				4				0.002125
10000				4				0.002110
10000				4				0.002119
10000				4				0.002113
10000				4				0.002113
10000				4				0.002191
10000				4				0.002113
10000				4				0.002122---Ortalama
10000				5				0.001847
10000				5				0.001828
10000				5				0.001888
10000				5				0.001892
10000				5				0.001883
10000				5				0.001886
10000				5				0.001900
10000				5				0.001883
10000				5				0.001883
10000				5				0.001884
10000				5				0.001877---Ortalama
10000				6				0.001986
10000				6				0.001946
10000				6				0.001945
10000				6				0.001944
10000				6				0.001985
10000				6				0.001949
10000				6				0.001942
10000				6				0.001936
10000				6				0.001927
10000				6				0.001927
10000				6				0.001949---Ortalama
10000				7				0.001812
10000				7				0.001799
10000				7				0.001829
10000				7				0.001802
10000				7				0.001786
10000				7				0.001784
10000				7				0.001794
10000				7				0.001787
10000				7				0.001781
10000				7				0.001778
10000				7				0.001795---Ortalama
10000				8				0.002350
10000				8				0.002401
10000				8				0.002310
10000				8				0.002302
10000				8				0.002301
10000				8				0.002303
10000				8				0.002325
10000				8				0.002304
10000				8				0.002335
10000				8				0.002335
10000				8				0.002327---Ortalama
10000				9				0.002457
10000				9				0.002452
10000				9				0.002491
10000				9				0.002488
10000				9				0.002490
10000				9				0.002514
10000				9				0.002479
10000				9				0.002468
10000				9				0.002494
10000				9				0.002479
10000				9				0.002481---Ortalama
10000				10				0.001916
10000				10				0.001887
10000				10				0.001900
10000				10				0.002393
10000				10				0.002294
10000				10				0.001911
10000				10				0.001899
10000				10				0.001896
10000				10				0.001948
10000				10				0.001907
10000				10				0.001995---Ortalama
100000				2				0.035505
100000				2				0.035458
100000				2				0.035337
100000				2				0.035348
100000				2				0.035385
100000				2				0.035510
100000				2				0.035739
100000				2				0.035855
100000				2				0.036413
100000				2				0.036441
100000				2				0.035699---Ortalama
100000				3				0.028674
100000				3				0.029884
100000				3				0.030136
100000				3				0.028053
100000				3				0.028124
100000				3				0.028185
100000				3				0.028496
100000				3				0.029044
100000				3				0.029025
100000				3				0.029153
100000				3				0.028877---Ortalama
100000				4				0.025790
100000				4				0.025205
100000				4				0.025318
100000				4				0.025229
100000				4				0.025016
100000				4				0.024956
100000				4				0.024839
100000				4				0.024830
100000				4				0.024839
100000				4				0.024791
100000				4				0.025081---Ortalama
100000				5				0.022629
100000				5				0.023107
100000				5				0.022689
100000				5				0.023293
100000				5				0.022919
100000				5				0.022838
100000				5				0.022984
100000				5				0.022844
100000				5				0.022770
100000				5				0.022608
100000				5				0.022868---Ortalama
100000				6				0.026319
100000				6				0.026271
100000				6				0.026333
100000				6				0.026248
100000				6				0.026425
100000				6				0.026672
100000				6				0.026807
100000				6				0.027069
100000				6				0.026905
100000				6				0.026998
100000				6				0.026605---Ortalama
100000				7				0.019882
100000				7				0.020219
100000				7				0.020007
100000				7				0.019987
100000				7				0.019984
100000				7				0.019683
100000				7				0.020660
100000				7				0.023167
100000				7				0.022109
100000				7				0.019809
100000				7				0.020551---Ortalama
100000				8				0.024355
100000				8				0.024549
100000				8				0.024444
100000				8				0.024671
100000				8				0.025003
100000				8				0.024948
100000				8				0.024398
100000				8				0.025068
100000				8				0.024270
100000				8				0.024564
100000				8				0.024627---Ortalama
100000				9				0.030174
100000				9				0.030040
100000				9				0.029907
100000				9				0.029744
100000				9				0.030857
100000				9				0.030084
100000				9				0.030045
100000				9				0.029758
100000				9				0.029657
100000				9				0.029583
100000				9				0.029985---Ortalama
100000				10				0.022651
100000				10				0.022647
100000				10				0.022735
100000				10				0.022787
100000				10				0.022690
100000				10				0.023402
100000				10				0.023833
100000				10				0.023015
100000				10				0.022786
100000				10				0.023629
100000				10				0.023018---Ortalama
1000000				2				0.388668
1000000				2				0.391576
1000000				2				0.389672
1000000				2				0.390918
1000000				2				0.391466
1000000				2				0.392758
1000000				2				0.390238
1000000				2				0.390202
1000000				2				0.391117
1000000				2				0.405541
1000000				2				0.392216---Ortalama
1000000				3				0.324698
1000000				3				0.321045
1000000				3				0.322434
1000000				3				0.319855
1000000				3				0.327092
1000000				3				0.324138
1000000				3				0.321424
1000000				3				0.321741
1000000				3				0.321230
1000000				3				0.320810
1000000				3				0.322447---Ortalama
1000000				4				0.241509
1000000				4				0.240906
1000000				4				0.240845
1000000				4				0.241347
1000000				4				0.241348
1000000				4				0.241762
1000000				4				0.241408
1000000				4				0.241061
1000000				4				0.241467
1000000				4				0.241186
1000000				4				0.241284---Ortalama
