track_id;title;artist;genre;popularity;release_year;lyrics;label_name
6EUcP55GlbmsmCzfL2vxtZ;on one tonight;Gunna;hip-hop;82;2024;"You niggas been hatin' way too long
Yeah, yeah
Too grown, I bought that—
Oh
Yeah
(That's a good one, P)
Yeah, yeah
I went to AP, spent two-hunnid K
They sold me the frost, rainbow face
They hope I fall off, ain't no way
I might be 'ight, but it ain't okay
Niggas had left, niggas went right, I went left and stayed left, it ain't nothin' the same
They run they lips, I put my prep in a step and my foot on the pedal of Range
Spend this shit like I'm ahead of the game
You said they gon' drop, and it better be flame
Lil' mommy gon' top, she gon' suck 'til I'm drained
My top-five topper, in love with her brain
Across the sea, huh (Ah), Hatteras in Mykonos, Greece, man, they love me in Spain (Yeah, yeah)
I'm kickin' P, ah, land on the jet with a bitch with a big-body frame (Yeah)
Dressed like a biker, rockin' black Margiela loafers, the one with the lace (Yeah, yeah)
Pulled up in title, yeah, right, I don't think these lil' niggas really wanna race (Yeah, yeah)
I got the fire, I spit crack, I got the fans, gon' recite what I say (Yeah, yeah)
Pass me that lighter, this ain't no Thrax, this some Bluscotti, I smoke to the face (Yeah, yeah)
Made it to the light and they still throwin' shade
I was locked up, takin' chips for a trade (Yeah, yeah)
I'm the boss, make more than minimum wage
These blue hunnids keepin' my mental straight (Yeah, yeah)
Talkin' to God in the middle of the day
Ain't no human bein' determine my fate (Yeah, yeah)
The more I get it in, the more they gon' hate
That lil'-body Benz, I know what you pay (Yeah, yeah, yeah-ah-ayy)
Don't tempt me, I'm on one tonight (Yeah, yeah, yeah-ah-ayy)
Don't play with me, play with a mic' (Yeah, yeah, yeah-ah-ayy)
She suck it when we stop at the light
These rappers ain't copyin' right (Yeah, yeah, yeah-ah-ayy)
Get dressed and pop-out in the night
Too trim, I got 'em enticed";anger
5O2P9iiztwhomNh8xkR9lJ;Night Changes;One Direction;pop;90;2014;"Goin' out tonight, changes into somethin' red
Her mother doesn't like that kind of dress
Everything she never had, she's showin' off
Drivin' too fast, moon is breakin' through her hair
She's headin' for somethin' that she won't forget
Havin' no regrets is all that she really wants
(Ooh) We're only gettin' older, baby
(Ooh) And I've been thinkin' about it lately
(Ooh) Does it ever drive you crazy
(Ah-ah-ah) Just how fast the night changes?
(Ooh) Everything that you've ever dreamed of
(Ooh) Disappearin' when you wake up
(Ooh) But there's nothin' to be afraid of
(Ah-ah-ah) Even when the night changes
(Ooh) It will never change me and you
Chasin' her tonight, doubts are runnin' round her head
He's waitin', hides behind a cigarette
Heart is beatin' loud and she doesn't want it to stop
Movin' too fast, moon is lightin' up her skin
She's fallin', doesn't even know it yet
Havin' no regrets is all that she really wants
(Ooh) We're only gettin' older, baby
(Ooh) And I've been thinkin' about it lately
(Ooh) Does it ever drive you crazy
(Ah-ah-ah) Just how fast the night changes?
(Ooh) Everything that you've ever dreamed of
(Ooh) Disappearin' when you wake up
(Ooh) But there's nothin' to be afraid of
(Ah-ah-ah) Even when the night changes
(Ooh) It will never change me and you
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh
Ooh
Goin' out tonight, changes into somethin' red
Her mother doesn't like that kind of dress
Reminds her of the missin' piece of innocence she lost
(Ooh) We're only gettin' older, baby
(Ooh) And I've been thinkin' about it lately
(Ooh) Does it ever drive you crazy
(Ah-ah-ah) Just how fast the night changes?
(Ooh) Everything that you've ever dreamed of
(Ooh) Disappearin' when you wake up
(Ooh) But there's nothin' to be afraid of
(Ah-ah-ah) Even when the night changes
(Ooh) It will never change, baby
(Ooh) It will never change, baby
(Ooh) It will never change me and you";fear
6l6XVeeoTe3ggya4fLY8l8;A Tear in Space (Airlock);Glass Animals;rock;69;2024;"(Love)
Love, do you want love? Do you want lust?
Say you don't know
Maybe you just like the control, like it all cold
But I like ya, like ya like you're drugs
Sit in my blood, maybe too much, never enough
I am your dog, I'm on your floor, all that you want
But I like ya, like ya like you're (drugs)
You get all worked up
Loving you, but it's not enough
Loving you from the airlock of
Your heart, from airlock one
Fear pulls you from my arms
It's a reckless abandon
One look and it's all gone
All the air from the bottom of my lungs
Water, running down my face
Water, running different ways
Water, like a billion waves
Water, just a tear in space
Water, running down my face
Water, running different ways
Water, like a billion waves
Water, just a tear in space
Ooh, too late, my love
You blew me into star dust
Ooh, but I made it, just
Dangling like a thread from you
I climb into your walls
I'm where the spiders go
I'm here, but you aren't sure
What are you waiting for?
Stretch me like leather rope
Make me invisible
Shape me into your form
What are you waiting for?
Hostage, so in love
It's an airless black-chasm
You turn the airlock on
You turn the airlock on
Object disappearance
It's a true phenomenon
Forget me and I'm gone
I'm slipping, no-no-no-no-no
Water, running down my face
Water, running different ways
Water, like a billion waves
Water, just a tear in space
Water, running down my face
Water, running different ways
Water, like a billion waves
Water, just a tear in space";anger
0lOe1dR2TNkJMCjIcRuw6T;Westside Story;The Game;hip-hop;65;2005;"Crip niggas, Blood niggas, eses, Asians
Dominicans, Puerto Ricans, white boys, Jamaicans
Latin Kings, Disciples, Vice Lords, Haitians
All these motherfuckers been patiently waitin'
Since the West Coast fell off, the streets been watching
The West Coast never fell off—I was 'sleep in Compton
Aftermath been here, the beats been knocking
Nate Dogg doin' his thing, DPG still poppin'
I got ""California Love,"" fuckin' bitches to that 'Pac shit
And Westside Connection been had it locked, bitch
I'm in the rear-view, my guns is cockin'
I put red dots on a nigga' head like Rodman
All Stars, fat laces; gun charge, court cases
Fought that, not guilty, I'm back, niggas hate me
Been there, done that, sold crack, got jacked
Got shot, came back, jumped on Dre's back
Payback, homie, I'm bringing C.A. back
And I don't do button-up shirts or drive Maybachs,
All you old record labels tryna advance
Aftermath, bitch—take it like a muh'fuckin' man
If you take a look in my eyes
You see I be a gangsta 'til I die
That California chronic got me so high
Game, tell 'em where you from (Nigga, Westside!)
If you take a look in my eyes
You see I be a gangsta 'til I die
That California chronic got me so high
Game tell 'em where you from (Nigga, Westside!)
I'm low-ridin', homie, six-trey Impala
Gold D's spinnin', chrome hydraulics
Run up on my lo-lo, you stop breathing
Hollow tips make niggas disappear like Houdini
Gangbangin' is real, homie—I'm living proof
Like Snoop Dogg C-walkin' on top of the Devil's roof
Rap critics wanna converse about this and that
'Cause red strings in his Converse, and this a Dre track
Keep gibberin' and jabbin', I pull the .38 Magnum
And get to clickin' and clackin'
Your homies wanna know what happened
Come to Compton, see Thriller like Mike Jackson
I might be Spike Lee of this gun-clappin'
Prior to rappin', I was drug traffickin'
In the dope spot, playing John Madden
Homie, I ain't braggin', I took five
You wanna die? Run up on that black 7-45
If you take a look in my eyes
You see I be a gangsta 'til I die
That California chronic got me so high
Game, tell 'em where you from (Nigga, Westside!)
If you take a look in my eyes
You see I be a gangsta 'til I die
That California chronic got me so high
Game tell 'em where you from (Nigga, Westside!)
New York, New York, big city of dreams
I got my L.A. Dodger fitted on, I'm doin' my thing
Got me fucking with G-Unit—you know the drama that bring
I got niggas in Westside Compton and Southside Queens
And Buck told me in Cashville I'm good when I come through
So I ain't gotta tuck-in my chain like DJ Pooh
I'm gangsta—more like Deebo when he was Zeus
Play Bishop, I paint that picture—now, who got the juice?
You niggas is Nutso—I'll take off your roof
Leave your ass stretched-out like a Cadillac coupe
God gotta let me in Heaven, all the shit I've been through
I was a O.G. in the hood before I turned twenty-two
Homie, I let the .38 special rip through that vest
And I don't contemplate whether or not he left his shit on the dresser
Got Compton on my back, I'm starting to feel the pressure
I'm lyrically Kool G. Rap on these Dre records
If you take a look in my eyes
You see I be a gangsta 'til I die
That California chronic got me so high
Game, tell 'em where you from (Nigga, Westside!)
If you take a look in my eyes
You see I be a gangsta 'til I die
That California chronic got me so high
Game tell 'em where you from (Nigga, Westside!)";anger
39yRhjDdSTP4A7VehxBXDb;Wouldn't Get Far;The Game;hip-hop;61;2006;"For you baby, I'd find you
For you baby, I'd find you
For you baby, I'd find you
I done been around the world, been around the block
Been around hoes that fucked Biggie and 'Pac
Like Vida Guerra, ass took her to the top
She'll give you some brain, you let her throw up the Roc
Let her put on your chain, she'll throw you some cot
Picture that, like Meagan Good and Jamie Foxx
Hype said it's a wrap, she still on the set
Puttin' oil on her legs like she Gloria Velez
She was Eye Candy in the XXL
Hopped off the page and on a skateboard with Pharrell
I knew she (Wouldn't get far) 'cause five hundred dollars
Can't get you that (Far), how you get that (Far)
And all these new video bitches tryin' to be Melyssa Ford
But they don't know Melyssa Ford drive a Honda Accord
She a video vixen, but behind closed doors
She do whatever it take to get to the Grammy Awards, ha ha
(You wouldn't get far), fuckin' them rap stars
You know who you are, put your hands up ladies
(You wouldn't get far), if you kept your legs closed
(It would be just a waste of time)
But you know, (You wouldn't get far), fuckin' them rap stars
You know who you are, I wrote this song for you
For you baby, I'd find you, for you and you, for all y'all
Pop quiz, how many topless, black foxes
Did I have under my belt, like boxers?
Not to brag but, if it add up
One, two, nigga, that's mad nuts
Game, you mad nuts, how you gon' call out all these
Bitches knowin' damn well they gon' call me?
The only dream, of that ghetto prom queen
Was to make it to the screen, maybe get seen
Maybe get chose by a nigga from a team
Head so good he don't ask for a pre... nup
Now ask yourself this question, umm
Would you be with Jay-Z if he wasn't C-E-O?
Would you be with F-A-B-O if he drove a Neo?
Would you ride with Ne-Yo, if he was in a Geo?
Well why the hell you think these bitches comin' at me fo'?
But since they all fall in my palm, I take a trio, yo
(You wouldn't get far), fuckin' them rap stars
You know who you are, put your hands up ladies
(You wouldn't get far), if you kept your mouth closed
(It would be just a waste of time)
But you know, (You wouldn't get far), fuckin' them rap stars
You know who you are, I wrote this song for you
For you baby, I'd find you, for you and you, for all y'all
I done had my share of bitches with long hair
Short 'do like Kelis or Halle in Boomerang, yeah
I been around the block in the Bentley drop-top
In Miami Beach when Lil' Kim was fuckin with Scott
I got the scoop on Hoops, whatever the case
She'll let you spray in her face long as she Bathing Apes
And ain't nobody tryin' to take Beyoncé from Jay
But I know a bitch named Superhead he fucked back in the day
The things niggas do when pussy sittin' on they face
Stabbed Un in the stomach
She must have had a pussy like Wonder Woman
On that superhero shit
Fly as Gabrielle Union in the back of my six, fo'
Impala, forget the double D's
I put 'em right in your face like that model bitch Toccara
And she ain't win the show but she ridin' in that Gallardo
That's why I fuck 'em today and forget 'em tomorrow
(You wouldn't get far), fuckin' them rap stars
You know who you are, put your hands up ladies
(You wouldn't get far), if you kept your legs closed
(It would be just a waste of time)
But you know, (You wouldn't get far), fuckin' them rap stars
You know who you are, I wrote this song for you
For you baby, I'd find you, for you and you, for all y'all
God damn, you know what I'm sayin'
I'm sittin' back watchin' Kanye video
And I see the same bitch
That was in the homeboy Busta Rhymes video
Then I flip the muh'fuckin channel
Checkin' out my uncle Snoop Dogg video
And I see the same bitch, that was in MY video
You know what I'm sayin'
And then y'knahmsayin, to make that even mo' fucked up
I'm watchin' Oprah cover Hurricane Katrina
I see the same bitch on Oprah
Floatin away on the hood of a Camry
That was in the nigga Lil Weezy video
I mean damn, everywhere I look
Everywhere I go, I see the same hoes
Don't get mad, I'm only bein' real, yeah";fear
2nG54Y4a3sH9YpfxMolOyi;Shy Away;Twenty One Pilots;rock;70;2021;"When I get home
You better not be there
We're placin' bets you won't
Shed your modesty
And the only thing to leave behind
Is your own skin on the floor
Don't you shy away (Ah-ah-ah)
Manifest a ceiling
When you shy away (Ah-ah-ah)
Searchin' for that feelin'
Just like an ""I love you"" (Ooh, ooh)
That isn't words (Ooh, ooh)
Like a song he wrote that's never heard (Ah-ah-ah)
Don't you sh—
When you get home
You barely recognize the pictures
They put in a frame
'Cause you shed your modеsty
Don't circle the track
Take what you havе
And leave your skin on the floor
Don't you shy away (Ah-ah-ah)
Manifest a ceiling
When you shy away (Ah-ah-ah)
Searchin' for that feelin'
Just like an ""I love you"" (Ooh, ooh)
That isn't words (Ooh, ooh)
Like a song he wrote (Ah-ah-ah)
That's never heard
When I get home
Boy, you better not be there
You're long gone
Shed your modesty
Don't circle the track
Just break the cycle in half
And leave your skin on the floor
Don't you shy away (Ah-ah-ah)
Manifest a ceiling
When you shy away (Ah-ah-ah)
Searchin' for that feelin'
Just like an ""I love you"" (Ooh, ooh)
That isn't words (Ooh, ooh)
Like a song he wrote (Ah-ah-ah)
That's never heard
That's never heard (Ah-ah-ah, ah-ah-ah)
An ""I love you""
That isn't words
Like a song he wrote
That's never heard
Don't you shy away";sadness
4NhimjCujmelb9pPUrHd2X;Stick 'Em Up;Quarashi;hip-hop;40;2002;"Gustavo y Augusto, de Patricio. Hay una información del personal de la Escuela de Infantería que está dentro de La Moneda. Por la posibilidad de interferencias, la voy a transmitir en inglés: THEY SAY THAT ALLENDE COMMITTED SUICIDE
What, what, what, hit it!
Until there was you, we didn't know what to do
But I don't give a fuck about the things that I blew
Sucker MC don't you love me
Wanna have me, wanna kill me, one, two, three
It's just a modest proposal from a boy anti-social
Scraping the skin of our culture (civilized vulture)
Do me in, don't make me sin (I wanna win)
I'm doing so good, I can't go through it again
Yeah!
Fuck, yeah!
Who bombs the mic?
Yeah!
I bomb the mic like a fascist, Mussolini
Coming through with no remorse
From the dark you won't see me
Rise up from the sea like a Godzilla
Straight up through your mind with my armor plated drilla
I don't give a fuck what you think about this shit
Ain't in it for the money never out to make a hit
If you can't take it, like I said, get a grip
'Cause I'm here to fucking stay like the warts on your dick
(Come on!)
I stick 'em up, yo, stick 'em up! (Stick 'em up)
I stick 'em up, yo, stick 'em up! (Stick 'em up)
Yo, stick 'em up (Stick 'em up)
Come on, come on, come on, come on, yeah!
Stick 'em up!
I stick 'em up, yo, stick 'em up! (Stick 'em up)
I stick 'em up, yo, stick 'em up! (Stick 'em up)
Yo, stick 'em up!
Stick 'em up, I'll get you out!
So won't you make a man out of me
I've gotta be, connected computerized son of a bitch
Makes me itch, broken for life
I can't decide, darkness or light or a heavenly fright
Stick it, I'm tired
I'm bored, I'm fuckin' bored
I'm trying so hard and I can't be adored
Now my sound breaks through with one tone
Gives me no choice, I can't be alone!
I stick 'em up, yo, stick 'em up! (Stick 'em up)
I stick 'em up, yo, stick 'em up! (Stick 'em up)
Yo, stick 'em up! (Yeah)
Come on, come on, come on, come on, yeah
Stick 'em up! (Stick 'em up)
I stick 'em up, yo, stick 'em up! (Stick 'em up)
I stick 'em up, yo, stick 'em up! (Stick 'em up)
I stick 'em up, yo, stick 'em up! (Stick 'em up) (Yeah)
Come on, come on, come on, come on, yeah
Like Darth Vader, I surprise you with my skills
I knock your old ass out like a bag of sleeping pills
I got to rip things up like my name was Jack the Ripper
There's a party at your house cause your mama is a stripper
Slice through the scene like a knife through peanut butter
Get your ears cleaned out motherfucker, I didn't stutter
S. W. A. R. E. Z
I got this whole thing right down to a T
(Come on!) (Yeah!)
I stick 'em up, yo, stick 'em up! (Stick 'em up)
I stick 'em up, yo, stick 'em up! (Stick 'em up)
Yo, stick 'em up! (Yeah!)
Come on, come on, come on, come on, yeah
Stick 'em up!
I stick 'em up, yo, stick 'em up! (Stick 'em up)
I stick 'em up, yo, stick 'em up! (Stick 'em up)
Yo, stick 'em up! (Yeah!)
Come on, come on, come on, come on, yeah!
(Yeah!)
Stick 'em up!
I stick 'em up, yo, stick 'em up! (Stick 'em up)
I stick 'em up, yo, stick 'em up! (Stick 'em up)
Yo, stick 'em up! (Yeah!)
Stick 'em up, I'll get you out!";anger
6lob8yGQuretKACtogsaQL;Show Me The Money;Petey Pablo;hip-hop;59;2006;"This is definitely the wickedest thing I ever hear in my life!
Show off that body you got
You got the dance floor so hot
You workin' that, you twerkin' that
You tickin' that like a clock
Can't nobody do it like I do it
When I do it, dog I do it
(Break it down)
Break it down, put your back into it
Man, y'all ain't ready for the **** I'm doing
(So get up)
Get up, put your drinks down
Don't want y'all sloshing yo' drinks out
All over that cheap blouse
Ain't nothing but a swallow in it anyhow
(Still me)
Still me, I just changed the sound
To the other one I had and just swapped it out
(Switch!)
Kept somethin' in background
Cause you love the song
But you in love wit the background
C'mon let a mama work for me
Make a player wanna spend some money
I don't really like spendin' money
But if you do what you do and do it well I'ma
 (x2)
Show off that body you got
You got the dance floor so hot
You workin' that, you twerkin' that
You tickin' that like a clock
Look good, and thick, nothin' in em, I'm hurtin'
No silicon, no lipo, no botox, no dumpty dump
All natural in today's world
When her mama brought her in this world
Good lookin' mama!
That good and hot and def make a athlete lose his breath
And if you got ass, move your little bump south
You're gonna need a couple skirts, fallin' out
5 on the Richter scale, the highest number you can go is 12
Shorty shake it like hell, we ought to be shame ourselves
The Creator couldn't rock the bed that well
Look at her breakin' it down ridin' this beat like wow!
If I was a jail man I'd gun her down
 (x2)
Show off that body you got
You got the dance floor so hot
You workin' that, you twerkin' that
You tickin' that like a clock
This is definitely the wickedest thing I ever hear in my life!
Ok!
I been sippin' on that Patron
I'm ready give you what you want
Might not feel the same way tomorrow
But I'll deal with that tomorrow
Cause tonight you got me feelin'
Like I wanna take you home
 (x2)";anger
3lPr8ghNDBLc2uZovNyLs9;Supermassive Black Hole;Muse;rock;83;2006;"Ooh, baby, don't you know I suffer?
Ooh, baby, can't you hear me moan?
You caught me under false pretenses
How long before you let me go?
Ooh, you set my soul alight
Ooh, you set my soul alight
Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the supermassive (You set my soul alight)
Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the (You set my soul)
Into the supermassive
I thought I was a fool for no one
But, ooh, baby, I'm a fool for you
You're the queen of the superficial
How long before you tell the truth?
Ooh, you set my soul alight
Ooh, you set my soul alight
Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the supermassive (You set my soul alight)
Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the (You set my soul)
Into the supermassive
Supermassive black hole
Supermassive black hole
Supermassive black hole
Supermassive black hole
Glaciers melting in the dead of night
And the superstar's sucked into the supermassive
Glaciers melting in the dead of night
And the superstar's sucked into the supermassive
Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the supermassive (You set my soul alight)
Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the (You set my soul)
Into the supermassive
Supermassive black hole
Supermassive black hole
Supermassive black hole
Supermassive black hole";sadness
68rcszAg5pbVaXVvR7LFNh;One Day / Reckoning Song (Wankelmut Remix) - Radio Edit;Asaf Avidan;pop;72;2012;"One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
(One day)
(One day)
No more tears, my heart is dry
I don't laugh and I don't cry
I don't think about you all the time
But when I do, I wonder why
No more tears, my heart is dry
I don't laugh and I don't cry
I don't think about you all the time
But when I do, I wonder why
No more tears, my heart is dry
I don't laugh and I don't cry
I don't think about you all the time
But when I do, I wonder why
No more tears, my heart is dry
I don't laugh and I don't cry
I don't think about you all the time
But when I do, I wonder why
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
Oh baby, we'll be old
Oh baby, we'll be one
(One Day)
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
Oh baby, we'll be old
Oh baby, we'll be one
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told
One day baby, we'll be old
Oh baby, we'll be old
And think about all the stories that we could have told";sadness
