topic,anger,disgust,fear,happiness,neutral,sadness
0,14125,1721,5882,13697,12479,7627
1,12370,1745,4400,12421,14875,4896
4,1907,332,793,5276,3387,1364
5,3737,472,1473,1788,3209,1392
8,2915,292,1177,1471,2836,1152
11,2276,222,968,1806,2578,777
12,1918,318,654,1910,2697,839
14,2173,241,510,2367,1732,687
16,1404,185,531,2086,1878,600
17,1836,294,401,1448,1747,496
18,1652,225,476,1148,1172,530
23,1042,161,221,780,1049,294
24,742,106,210,1215,904,283
26,927,82,327,916,678,447
28,728,96,241,1155,704,315
30,737,82,191,924,664,248
33,423,142,227,812,631,199
39,445,132,140,535,475,117
44,474,64,154,417,405,171
45,307,50,119,356,308,524
55,207,49,185,270,300,95
56,223,28,68,365,216,173
62,208,28,54,278,295,92
