topic,anger,disgust,fear,happiness,neutral,sadness
0,13874.9,1857.9,5100.8,14049.8,14517.2,6130.4
1,12669.6,1696.5,4657.7,12829.3,13256.1,5597.8
4,3262.9,436.9,1199.5,3304.0,3414.0,1441.7
5,3016.0,403.9,1108.8,3054.1,3155.7,1332.6
8,2459.4,329.3,904.1,2490.4,2573.2,1086.6
11,2155.5,288.6,792.4,2182.7,2255.3,952.4
12,2082.8,278.9,765.7,2109.1,2179.2,920.3
14,1926.4,258.0,708.2,1950.7,2015.6,851.1
16,1670.1,223.6,614.0,1691.1,1747.4,737.9
17,1554.6,208.2,571.5,1574.2,1626.6,686.9
18,1300.0,174.1,477.9,1316.4,1360.2,574.4
23,886.3,118.7,325.8,897.4,927.3,391.6
24,864.5,115.8,317.8,875.4,904.5,382.0
26,843.8,113.0,310.2,854.4,882.8,372.8
28,809.3,108.4,297.5,819.5,846.8,357.6
30,711.1,95.2,261.4,720.1,744.0,314.2
33,608.2,81.4,223.6,615.8,636.3,268.7
39,460.7,61.7,169.4,466.5,482.1,203.6
44,421.0,56.4,154.8,426.3,440.5,186.0
45,415.8,55.7,152.8,421.0,435.0,183.7
55,276.3,37.0,101.6,279.8,289.1,122.1
56,268.1,35.9,98.6,271.5,280.5,118.5
62,238.6,32.0,87.7,241.6,249.7,105.4
